mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,rms,centroid,bandwidth,rolloff,label
-251.58623,73.811356,-6.2029424,12.9811535,3.1319413,-11.815792,-16.099375,-8.820036,-16.550838,-8.5815,-8.865054,-7.746132,-8.486868,0.191925048828125,0.052705705,2166.697853399265,1799.3241332393168,4026.85546875,command
-264.1993,98.10867,-18.198269,26.80312,-17.816044,-7.4974694,-9.333013,-25.612703,-11.28488,-11.619595,-12.260198,-11.716211,-8.665099,0.11375378024193548,0.07480186,1486.24958726342,1378.8208779067477,2806.53561827957,command
-211.44272,115.1995,-40.075428,23.057308,-25.57473,-12.904931,-24.248922,-7.809287,-12.55961,-10.255938,-0.061797455,-11.000766,-3.916632,0.09485123005319149,0.09164816,1419.19546732726,1344.3783127073195,2660.571808510638,command
-280.12134,118.07612,-15.314929,1.609952,-8.6151705,-5.4530663,-14.697841,-15.49228,-12.889112,-3.5691295,-13.033812,-14.222315,-5.608427,0.10533800802595629,0.057553686,1421.0010682626148,1384.3091350321836,2599.214480874317,command
-243.6455,124.811844,-17.642046,12.140626,-5.112627,-13.563065,-17.502924,-19.65486,-9.980711,-6.9402814,-11.012045,-11.874648,-5.500881,0.0829125381097561,0.0800817,1294.8608012744924,1278.0056088287313,2405.4242886178863,command
-211.71228,126.63904,-6.9041986,32.91851,3.8764074,-0.5543571,-6.168105,-9.08325,-16.454533,-0.19845296,-4.7359324,2.7016356,-2.286856,0.07190860215053764,0.07938468,1216.7553686436283,1423.6707594049121,2497.6478494623657,command
-241.96758,102.137794,-20.279531,6.666453,-1.8620076,-4.410022,-8.138837,-7.250318,-11.654806,-9.711301,-5.8485327,-13.407925,-7.8522,0.12661000844594594,0.08933776,1622.2585476278337,1414.1946568884548,2817.7787162162163,command
-403.63992,117.46791,13.813884,11.31059,-2.7065897,-6.1559873,-13.449037,-12.828591,-2.5437636,-6.4876394,-7.2038846,-9.890892,-9.112289,0.08839017427884616,0.019720325,1304.781459981622,1471.429169096821,2396.875,command
-245.89027,116.68054,-21.803991,15.501594,-3.374447,-8.744549,-13.340066,-24.609724,-13.44274,-9.614383,-11.17754,-11.524314,-10.4797535,0.10197310014204546,0.08580911,1399.694644622768,1311.0312187380346,2563.0326704545455,command
-178.40413,107.73334,7.2504206,21.883566,-10.086134,-5.486778,-7.766879,-9.751322,-22.45793,5.4333644,-5.535419,0.48854807,-6.1224236,0.12065922448394495,0.075725436,1648.8637482373526,1643.4800714865994,3224.913990825688,command
-268.2566,124.86049,0.19367504,13.121848,-9.208542,-27.6445,-5.531925,-17.909452,-14.702213,4.269047,-10.106878,-5.8177385,-10.416305,0.08125686645507812,0.08726837,1148.6186332203529,1259.3669397870372,2155.3955078125,command
-256.4258,98.53184,-12.3580065,10.060977,-6.8441067,-4.3530307,-11.28114,-13.497906,-12.705388,-3.9138887,-6.4223404,-12.576766,-4.4201016,0.11064656575520833,0.073245026,1699.32944391835,1476.0962161835257,3046.5494791666665,command
-235.37663,111.300964,-16.343359,11.810667,-12.397838,-14.120914,-20.813665,-16.678793,-11.995583,-9.129347,-6.172643,-9.872377,-6.4920363,0.12731022621268656,0.08086942,1565.579854530491,1385.1295857003997,2860.1912313432836,command
-216.42374,112.81771,-16.950497,9.248192,-13.910763,-5.2154856,-13.948151,-22.766712,-10.954393,-12.435863,-6.9432526,-7.455225,-8.897082,0.13372716769366197,0.08010799,1652.2364637147166,1415.1904231402993,2984.8151408450703,command
-290.3849,103.1134,18.705698,17.915201,-11.584608,-16.285868,-5.3308973,-9.065956,-14.01281,0.8249398,-9.084021,-5.6382318,-5.240751,0.10126684346330275,0.060155574,1569.8455189566116,1566.6620832176393,2992.4741972477063,command
-395.20718,95.61211,16.296413,12.828032,-6.3404922,-11.723111,-16.47846,-3.4889922,-13.135268,-7.0497646,-1.0735213,-18.31233,-4.0752473,0.12735829454787234,0.020560874,1773.5401296618409,1625.286792858468,3126.8284574468084,command
-375.68076,113.50394,-6.6053414,9.538664,-5.9053755,-16.83646,-9.8147955,-14.931639,-1.9614674,-10.301194,-6.9351315,-11.050432,-10.724384,0.15236381635273974,0.020914318,1741.149591048508,1466.5635549971391,2952.322345890411,command
-248.70204,86.98708,6.94978,27.21204,-23.92917,-34.895542,-12.471356,-26.92646,-19.44051,-1.6211829,-13.56703,-8.1101885,-12.469693,0.12844150037650603,0.083211236,1732.3558904975848,1678.4333465499583,3475.809487951807,command
-211.84424,89.44754,-7.3973856,39.517048,-28.493052,-6.2375836,-20.307291,-13.307559,-17.710545,-6.6141148,-3.8847265,-15.247828,-1.6072105,0.10370510727611941,0.08475147,1746.6101315441401,1670.3009969094815,3633.978544776119,command
-271.17114,87.02478,0.22336406,11.357279,-5.061519,2.824006,-10.04794,-13.852218,-14.328308,-3.1748455,-10.570014,-15.034853,-4.7360415,0.15398245146780304,0.04979146,1980.469336611244,1689.6627012938097,3540.719696969697,command
-279.70963,118.86738,5.927553,-5.6565094,-22.188587,-8.482678,-27.407778,-5.472282,-12.425456,-12.033058,-3.0825558,-13.3033495,-6.099854,0.11120153356481481,0.05529561,1521.0236953314588,1488.164322572472,2877.2183641975307,command
-258.87756,95.05236,-13.915116,13.899149,-11.833976,-1.7275147,-18.477455,-8.733049,-18.193253,-1.3348908,-7.776069,-11.878833,-3.3740113,0.14423828125,0.05243814,1840.156277489314,1589.5362057586892,3366.5625,command
-231.89311,71.84427,5.61394,15.946588,-5.1367574,-0.6881529,-9.1898775,-17.858767,-10.935841,-6.5259523,-10.132834,-10.421669,-8.872856,0.19997336647727273,0.06893259,2264.8366894367164,1700.393982840416,3889.28345959596,command
-245.35881,99.73344,-5.638279,17.219505,-25.671736,-7.261277,-20.10593,-8.623218,-19.08608,-7.436143,-3.5252893,-8.322196,-5.85695,0.11633978949652778,0.07537709,1689.1654694265137,1597.2148359717246,3341.796875,command
-266.8854,97.68898,12.709823,16.546686,-6.998538,-14.937917,-2.5604331,-9.172859,-17.232615,1.7707686,-7.5463037,-9.640119,-10.5248375,0.12818170362903225,0.06919948,1721.8472088743677,1650.792803674723,3316.154233870968,command
-267.4013,121.03943,-20.395523,13.952921,-0.8599167,-16.146885,-15.942182,-17.389172,-12.309732,-6.489081,-14.459775,-3.8346992,-7.3361573,0.08902587890625,0.06831879,1289.061574664426,1351.4452585382965,2392.67578125,command
-201.39754,90.0078,10.305585,45.537804,-1.9328269,1.4263014,-4.568042,-5.633449,-12.351271,-11.7645445,-7.8868876,-2.410572,-8.765288,0.10588626585144928,0.0688012,1717.4318872679128,1694.4110093987736,3377.151268115942,command
-198.28851,112.821655,-31.1395,18.590008,-26.873938,-9.227215,-27.91213,-7.1893263,-17.021473,-5.2320375,-0.68921685,-10.940764,-4.2403703,0.10172220593163539,0.107370585,1431.1044327659051,1359.4720825961392,2683.143431635389,dictation
-242.6852,113.86544,-19.686405,10.0918255,-2.7062392,-12.2644005,-15.46139,-15.482077,-13.39806,-8.296316,-12.360899,-6.8825593,-8.537993,0.10968202533143939,0.07035162,1431.9355394428112,1461.7864326952824,2731.4749053030305,dictation
-209.88353,112.85001,-38.31284,21.466555,-27.93426,-5.812003,-26.697031,-8.495688,-16.771715,-6.8506384,-1.3079487,-11.010555,-3.7932363,0.09926163226476015,0.09752807,1413.9266847310737,1311.8910417060413,2606.3768450184502,dictation
-236.90895,110.06263,-30.295574,16.353886,-7.5445733,-10.570084,-16.003252,-15.655899,-12.090709,-2.3166618,-9.604425,-13.333088,-1.5434557,0.10135888064056017,0.08130693,1403.5309394852136,1313.84065465495,2556.794605809129,dictation
-208.64706,101.480385,-27.374094,12.306637,-4.7796216,-14.568928,-8.242346,-10.942806,-16.140375,-6.9130282,-7.271281,-18.055113,-8.214985,0.1112060546875,0.10086239,1643.2682003148827,1466.1030466265465,3050.613839285714,dictation
-207.64565,135.44356,-33.25751,-7.548378,-34.442757,-15.802381,-18.385254,-8.82044,-11.846533,-8.984991,-3.554129,-14.053209,-6.4697204,0.11649576822916667,0.10097178,1420.6654775038376,1235.0758155740657,2532.5329350490197,dictation
-243.0414,109.95278,-20.342031,18.167751,-5.016726,-15.402808,-18.212326,-11.696208,-10.198947,-8.588269,-7.6417413,-5.9860635,-6.756591,0.11051009537337662,0.07453318,1506.658997238879,1437.1419100732242,2862.2666396103896,dictation
